1|20|1|2025-11-20 08:10:00|NULL   
2|21|2|2025-11-20 08:12:00|NULL   
3|28|3|2025-11-20 08:14:00|NULL   
4|5|4|2025-11-20 08:16:00|NULL   
5|22|5|2025-11-20 08:18:00|NULL   
6|11|6|2025-11-20 08:20:00|NULL 
7|7|7|2025-11-20 08:22:00|NULL   
8|23|8|2025-11-20 09:00:00|NULL  
9|6|9|2025-11-20 09:03:00|NULL    
10|16|255|2025-11-20 09:06:00|NULL
11|30|11|2025-11-20 09:30:00|NULL 
12|12|12|2025-11-20 09:33:00|NULL 
13|3|13|2025-11-20 09:36:00|NULL 
14|26|14|2025-11-20 10:00:00|NULL 
15|4|105|2025-11-20 10:04:00|NULL  
16|9|122|2025-11-20 10:08:00|NULL  
17|13|123|2025-11-20 10:12:00|NULL  
18|15|124|2025-11-20 10:40:00|NULL  
19|17|82|2025-11-20 10:44:00|NULL 
20|18|83|2025-11-20 10:48:00|NULL 
